dataset,file,obj,total_cc,success_rate,greedy_baseline,ga_best,diff_vs_greedy,time_sec,status,pop_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed,time_limit
Uniform,Uniform_20_30_10,189,200,0.945,184,189,5,19.956897204998313,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,20
Uniform,Uniform_50_75_20,648,750,0.864,648,648,0,90.00797374099966,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,90
Uniform,Uniform_80_120_32,1126,1200,0.9383333333333334,1126,1126,0,180.0254398470006,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,180
Uniform,Uniform_100_150_40,1386,1500,0.924,1386,1386,0,180.01199990499845,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,180
Uniform,Uniform_150_225_60,2137,2250,0.9497777777777778,2122,2137,15,360.0268814279989,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,360
Uniform,Uniform_200_300_80,2904,3000,0.968,2877,2904,27,360.02411379299883,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,360
Uniform,Uniform_300_450_120,4277,4499,0.9506557012669482,4277,4277,0,360.16561737899974,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,360
Uniform,Uniform_500_750_200,7287,7500,0.9716,7262,7287,25,600.1581318600001,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,600
Uniform,Uniform_800_1200_320,11755,12000,0.9795833333333334,11684,11755,71,900.6952259069985,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,900
Uniform,Uniform_1000_1500_400,14661,15000,0.9774,14661,14661,0,902.0843070849987,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,900
hustack,hustack01,169,179,0.9441340782122905,169,169,0,19.997771054000623,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,20
hustack,hustack02,167,204,0.8186274509803921,167,167,0,44.98171990999981,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,45
hustack,hustack03,37,39,0.9487179487179487,37,37,0,19.960807202998694,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,20
hustack,hustack04,227,297,0.7643097643097643,227,227,0,45.00340562600104,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,45
hustack,hustack05,318,357,0.8907563025210085,318,318,0,45.006807770001615,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,45
hustack,hustack06,69,78,0.8846153846153846,69,69,0,19.986499048998667,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,20
hustack,hustack07,200,242,0.8264462809917356,200,200,0,45.002359722999245,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,45
hustack,hustack08,148,168,0.8809523809523809,146,148,2,19.953630481999426,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,20
hustack,hustack09,284,327,0.8685015290519877,283,284,1,45.002903413998865,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,45
hustack,hustack10,12,12,1.0,12,12,0,0.00015719600196462125,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,20
