Dataset_Type,File,GA_pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,GA_pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,GA_pop40_elite5_cx0p85_ox_mut0p75_mixed_tk3_initheuristic_ga_base_ox_mixed,GA_pop40_elite5_cx0p85_ox_mut0p75_mixed_tk3_initrandom_r_base_ox_mixed,GA_pop40_elite5_cx0p85_ox_mut0p9_mixed_tk3_initheuristic_ga_high_mutation_0p9,GA_pop40_elite5_cx0p85_ox_mut0p9_mixed_tk3_initrandom_r_high_mutation_0p9,GA_pop40_elite5_cx0p85_pmx_mut0p75_mixed_tk3_initheuristic_ga_pmx_mixed,GA_pop40_elite5_cx0p85_pmx_mut0p75_mixed_tk3_initrandom_r_pmx_mixed,Greedy
Gaussian_150_225_60,Gaussian_150_225_60,,,,,,,,,"{'Objective': 2175, 'Success_Rate': '-', 'Time': '-', 'Status': 'Success'}"
Gaussian_200_300_80,Gaussian_200_300_80,,,,,,,,,"{'Objective': 2900, 'Success_Rate': '-', 'Time': '-', 'Status': 'Success'}"
Gaussian_20_30_10,Gaussian_20_30_10,,,,,,,,,"{'Objective': 159, 'Success_Rate': '-', 'Time': '-', 'Status': 'Success'}"
Gaussian_300_450_120,Gaussian_300_450_120,,,,,,,,,"{'Objective': 4361, 'Success_Rate': '-', 'Time': '-', 'Status': 'Success'}"
Gaussian_500_750_200,Gaussian_500_750_200,,,,,,,,,"{'Objective': 7393, 'Success_Rate': '-', 'Time': '-', 'Status': 'Success'}"
Gaussian_50_75_20,Gaussian_50_75_20,,,,,,,,,"{'Objective': 687, 'Success_Rate': '-', 'Time': '-', 'Status': 'Success'}"
Gaussian_800_1200_320,Gaussian_800_1200_320,,,,,,,,,"{'Objective': 11784, 'Success_Rate': '-', 'Time': '-', 'Status': 'Success'}"
Gaussian_80_120_32,Gaussian_80_120_32,,,,,,,,,"{'Objective': 1151, 'Success_Rate': '-', 'Time': '-', 'Status': 'Success'}"
Poisson,Poisson_1000_1500_400,"{'Objective': 14627, 'Success_Rate': 0.9751983465564372, 'Time': 900.73723264, 'Status': 'VALID'}","{'Objective': 14636, 'Success_Rate': 0.975798386559104, 'Time': 901.1696935660002, 'Status': 'VALID'}","{'Objective': 14619, 'Success_Rate': 0.9746649776651776, 'Time': 900.612826519, 'Status': 'VALID'}","{'Objective': 14641, 'Success_Rate': 0.9761317421161412, 'Time': 900.4250409499982, 'Status': 'VALID'}","{'Objective': 14620, 'Success_Rate': 0.9747316487765852, 'Time': 900.7477365639988, 'Status': 'VALID'}","{'Objective': 14631, 'Success_Rate': 0.9754650310020668, 'Time': 901.4866260790004, 'Status': 'VALID'}","{'Objective': 14619, 'Success_Rate': 0.9746649776651776, 'Time': 901.0347112400012, 'Status': 'VALID'}","{'Objective': 14636, 'Success_Rate': 0.975798386559104, 'Time': 900.8564890969992, 'Status': 'VALID'}",
Poisson,Poisson_100_150_40,"{'Objective': 1417, 'Success_Rate': 0.9446666666666668, 'Time': 180.03124728699913, 'Status': 'VALID'}","{'Objective': 1420, 'Success_Rate': 0.9466666666666668, 'Time': 180.01135614299892, 'Status': 'VALID'}","{'Objective': 1417, 'Success_Rate': 0.9446666666666668, 'Time': 180.01772711800004, 'Status': 'VALID'}","{'Objective': 1415, 'Success_Rate': 0.9433333333333334, 'Time': 180.028318132001, 'Status': 'VALID'}","{'Objective': 1417, 'Success_Rate': 0.9446666666666668, 'Time': 180.03224903000046, 'Status': 'VALID'}","{'Objective': 1410, 'Success_Rate': 0.94, 'Time': 180.00783907299956, 'Status': 'VALID'}","{'Objective': 1417, 'Success_Rate': 0.9446666666666668, 'Time': 180.03558076899935, 'Status': 'VALID'}","{'Objective': 1411, 'Success_Rate': 0.9406666666666668, 'Time': 180.0219402319999, 'Status': 'VALID'}",
