Algorithm,Experiment,Dataset,File,Objective,Success_Rate,Greedy_Baseline,GA_Best,Difference_vs_Greedy,Avg_Time,Status,Population,Elite,Crossover_Rate,Mutation_Rate,Crossover_Type,Mutation_Type
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,Gaussian,Gaussian_150_225_60,2192,0.9742222222222222,2171,2192,21,360.04893041299874,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,Gaussian,Gaussian_200_300_80,2928,0.976,2904,2928,24,360.0445633390009,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,Gaussian,Gaussian_300_450_120,4383,0.974,4363,4383,20,360.2218477480001,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,Gaussian,Gaussian_500_750_200,7413,0.9885318042405654,7400,7413,13,600.4741087189996,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,Gaussian,Gaussian_800_1200_320,11809,0.9840833333333332,11787,11809,22,900.1837570600001,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,Gaussian,Gaussian_1000_1500_400,14793,0.9862,14770,14793,23,901.321246518999,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,Poisson,Poisson_20_30_10,146,0.73,140,146,6,20.003141998999126,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,Poisson,Poisson_50_75_20,620,0.8266666666666667,620,620,0,90.0080580549984,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,Poisson,Poisson_80_120_32,1119,0.9325,1114,1119,5,180.015404269001,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,Poisson,Poisson_100_150_40,1417,0.9446666666666668,1417,1417,0,180.03124728699913,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,Poisson,Poisson_150_225_60,2214,0.984,2213,2214,1,360.0243070659999,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,Poisson,Poisson_200_300_80,2956,0.9853333333333332,2932,2956,24,360.06543855400014,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,Poisson,Poisson_300_450_120,4467,0.9926666666666668,4449,4467,18,360.0919768189997,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,Poisson,Poisson_500_750_200,7320,0.976,7312,7320,8,600.2592021109995,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,Poisson,Poisson_800_1200_320,11830,0.9858333333333332,11805,11830,25,900.6719612550005,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,Poisson,Poisson_1000_1500_400,14627,0.9751983465564372,14563,14627,64,900.73723264,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,Uniform,Uniform_20_30_10,191,0.955,184,191,7,19.95588266300001,VALID,40,5,0.85,0.4,ox,mixed
