dataset,file,obj,total_cc,success_rate,greedy_baseline,ga_best,diff_vs_greedy,time_sec,status,pop_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed,time_limit
Uniform,Uniform_20_30_10,190,200,0.95,184,190,6,19.96999906899873,VALID,40,5,0.85,0.9,ox,mixed,3,,42,20
Uniform,Uniform_50_75_20,645,750,0.86,648,645,-3,89.96015092699963,VALID,40,5,0.85,0.9,ox,mixed,3,,42,90
Uniform,Uniform_80_120_32,1123,1200,0.9358333333333333,1126,1123,-3,180.0064402499993,VALID,40,5,0.85,0.9,ox,mixed,3,,42,180
Uniform,Uniform_100_150_40,1384,1500,0.9226666666666666,1386,1384,-2,180.01083483600087,VALID,40,5,0.85,0.9,ox,mixed,3,,42,180
Uniform,Uniform_150_225_60,2133,2250,0.948,2122,2133,11,360.054974314,VALID,40,5,0.85,0.9,ox,mixed,3,,42,360
Uniform,Uniform_200_300_80,2904,3000,0.968,2877,2904,27,360.1218868169999,VALID,40,5,0.85,0.9,ox,mixed,3,,42,360
Uniform,Uniform_300_450_120,4281,4499,0.9515447877306068,4277,4281,4,360.0335957139978,VALID,40,5,0.85,0.9,ox,mixed,3,,42,360
Uniform,Uniform_500_750_200,7280,7500,0.9706666666666667,7262,7280,18,600.0424335240023,VALID,40,5,0.85,0.9,ox,mixed,3,,42,600
Uniform,Uniform_800_1200_320,11747,12000,0.9789166666666667,11684,11747,63,900.4713351879982,VALID,40,5,0.85,0.9,ox,mixed,3,,42,900
Uniform,Uniform_1000_1500_400,14643,15000,0.9762,14661,14643,-18,900.9879101719998,VALID,40,5,0.85,0.9,ox,mixed,3,,42,900
hustack,hustack01,169,179,0.9441340782122905,169,169,0,20.003488548998575,VALID,40,5,0.85,0.9,ox,mixed,3,,42,20
hustack,hustack02,167,204,0.8186274509803921,167,167,0,45.002423597001325,VALID,40,5,0.85,0.9,ox,mixed,3,,42,45
hustack,hustack03,37,39,0.9487179487179487,37,37,0,19.964730692001467,VALID,40,5,0.85,0.9,ox,mixed,3,,42,20
hustack,hustack04,227,297,0.7643097643097643,227,227,0,45.00383244400291,VALID,40,5,0.85,0.9,ox,mixed,3,,42,45
hustack,hustack05,318,357,0.8907563025210085,318,318,0,45.006843701001344,VALID,40,5,0.85,0.9,ox,mixed,3,,42,45
hustack,hustack06,69,78,0.8846153846153846,69,69,0,19.957124087999546,VALID,40,5,0.85,0.9,ox,mixed,3,,42,20
hustack,hustack07,200,242,0.8264462809917356,200,200,0,45.003824776998954,VALID,40,5,0.85,0.9,ox,mixed,3,,42,45
hustack,hustack08,148,168,0.8809523809523809,146,148,2,20.001816198000597,VALID,40,5,0.85,0.9,ox,mixed,3,,42,20
hustack,hustack09,284,327,0.8685015290519877,283,284,1,44.98360793499887,VALID,40,5,0.85,0.9,ox,mixed,3,,42,45
hustack,hustack10,12,12,1.0,12,12,0,19.953194048001023,VALID,40,5,0.85,0.9,ox,mixed,3,,42,20
