dataset,file,obj,total_cc,success_rate,greedy_baseline,ga_best,diff_vs_greedy,time_sec,status,pop_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed,time_limit
Uniform,Uniform_50_75_20,648,750,0.864,648,648,0,90.0129910479991,VALID,40,5,0.85,0.9,ox,mixed,3,,42,90
Uniform,Uniform_80_120_32,1126,1200,0.9383333333333334,1126,1126,0,180.0130195089987,VALID,40,5,0.85,0.9,ox,mixed,3,,42,180
Uniform,Uniform_100_150_40,1386,1500,0.924,1386,1386,0,180.01545450900085,VALID,40,5,0.85,0.9,ox,mixed,3,,42,180
Uniform,Uniform_150_225_60,2137,2250,0.9497777777777778,2122,2137,15,359.99630124399846,VALID,40,5,0.85,0.9,ox,mixed,3,,42,360
Uniform,Uniform_200_300_80,2902,3000,0.9673333333333334,2877,2902,25,360.03854665999825,VALID,40,5,0.85,0.9,ox,mixed,3,,42,360
Uniform,Uniform_300_450_120,4279,4499,0.9511002444987775,4277,4279,2,360.0951142570011,VALID,40,5,0.85,0.9,ox,mixed,3,,42,360
Uniform,Uniform_500_750_200,7287,7500,0.9716,7262,7287,25,600.497529622,VALID,40,5,0.85,0.9,ox,mixed,3,,42,600
Uniform,Uniform_800_1200_320,11758,12000,0.9798333333333333,11684,11758,74,900.8695162619988,VALID,40,5,0.85,0.9,ox,mixed,3,,42,900
Uniform,Uniform_1000_1500_400,14661,15000,0.9774,14661,14661,0,901.6885299070018,VALID,40,5,0.85,0.9,ox,mixed,3,,42,900
hustack,hustack01,169,179,0.9441340782122905,169,169,0,20.002289818999998,VALID,40,5,0.85,0.9,ox,mixed,3,,42,20
hustack,hustack02,167,204,0.8186274509803921,167,167,0,45.002448604001984,VALID,40,5,0.85,0.9,ox,mixed,3,,42,45
hustack,hustack03,37,39,0.9487179487179487,37,37,0,19.95885555299901,VALID,40,5,0.85,0.9,ox,mixed,3,,42,20
hustack,hustack04,227,297,0.7643097643097643,227,227,0,45.00437546399917,VALID,40,5,0.85,0.9,ox,mixed,3,,42,45
hustack,hustack05,318,357,0.8907563025210085,318,318,0,45.00376238699755,VALID,40,5,0.85,0.9,ox,mixed,3,,42,45
hustack,hustack06,69,78,0.8846153846153846,69,69,0,19.98607527400236,VALID,40,5,0.85,0.9,ox,mixed,3,,42,20
hustack,hustack07,200,242,0.8264462809917356,200,200,0,45.004181034000794,VALID,40,5,0.85,0.9,ox,mixed,3,,42,45
hustack,hustack08,148,168,0.8809523809523809,146,148,2,19.968519624999317,VALID,40,5,0.85,0.9,ox,mixed,3,,42,20
hustack,hustack09,284,327,0.8685015290519877,283,284,1,44.972063417000754,VALID,40,5,0.85,0.9,ox,mixed,3,,42,45
hustack,hustack10,12,12,1.0,12,12,0,0.00014852599997539073,VALID,40,5,0.85,0.9,ox,mixed,3,,42,20
