config,files,obj,total_cc,greedy,mean_success_rate,mean_gain,total_gain,better,equal,worse,mean_time_sec,overall_success_rate,overall_greedy_rate,gain_rate_vs_greedy
Heuristic OX + Mixed,60,227593,241399,227161,0.8995795070040955,7.2,432,25,35,0,334.42253126628316,0.9428083794879017,0.9410188111798309,0.0017895683080708703
Heuristic Mut=0.40,60,227609,241399,227161,0.8998666364689083,7.466666666666667,448,26,34,0,334.4090452852999,0.9428746597956081,0.9410188111798309,0.0018558486157771988
Heuristic Mut=0.90,60,227613,241399,227161,0.8997915458932264,7.533333333333333,452,26,34,0,334.4122989449999,0.9428912298725347,0.9410188111798309,0.0018724186927037809
Heuristic PMX + Mixed,60,227630,241399,227161,0.8996988557278118,7.816666666666666,469,24,36,0,334.4110922031832,0.9429616526994726,0.9410188111798309,0.001942841519641755
Random OX + Mixed,60,227119,241399,227161,0.8975387473137052,-0.7,-42,24,11,25,334.7797167172001,0.9408448253721018,0.9410188111798309,-0.0001739858077291124
Random Mut=0.40,60,227070,241399,227161,0.8977320803098625,-1.5166666666666666,-91,26,9,25,334.7628795665168,0.9406418419297512,0.9410188111798309,-0.0003769692500797435
Random Mut=0.90,60,227062,241399,227161,0.8976561646490703,-1.65,-99,26,9,25,334.72765314598325,0.940608701775898,0.9410188111798309,-0.00041010940393290777
Random PMX + Mixed,60,227144,241399,227161,0.89802116047543,-0.2833333333333333,-17,24,11,25,334.7517675737668,0.940948388352893,0.9410188111798309,-7.042282693797405e-05
