dataset,file,obj,total_cc,success_rate,greedy_baseline,ga_best,diff_vs_greedy,time_sec,status,pop_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed,time_limit
Poisson,Poisson_500_750_200,7332,7500,0.9776,7312,7332,20,600.1305608130006,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,600
Poisson,Poisson_800_1200_320,11797,12000,0.9830833333333333,11805,11797,-8,900.6825737589988,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,900
Poisson,Poisson_1000_1500_400,14636,14999,0.9757983865591039,14563,14636,73,900.8564890969992,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,900
Uniform,Uniform_20_30_10,189,200,0.945,184,189,5,19.980450173001373,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,20
Uniform,Uniform_50_75_20,647,750,0.8626666666666667,648,647,-1,90.01324962899889,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,90
Uniform,Uniform_80_120_32,1123,1200,0.9358333333333333,1126,1123,-3,180.01590832100192,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,180
Uniform,Uniform_100_150_40,1383,1500,0.922,1386,1383,-3,179.99893045299905,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,180
Uniform,Uniform_150_225_60,2138,2250,0.9502222222222222,2122,2138,16,360.0377522469971,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,360
Uniform,Uniform_200_300_80,2906,3000,0.9686666666666667,2877,2906,29,360.08420904500235,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,360
Uniform,Uniform_300_450_120,4278,4499,0.9508779728828629,4277,4278,1,360.0368073339996,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,360
Uniform,Uniform_500_750_200,7295,7500,0.9726666666666667,7262,7295,33,600.151209292002,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,600
Uniform,Uniform_800_1200_320,11749,12000,0.9790833333333333,11684,11749,65,900.7969008660002,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,900
Uniform,Uniform_1000_1500_400,14644,15000,0.9762666666666666,14661,14644,-17,901.8554822500009,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,900
hustack,hustack01,169,179,0.9441340782122905,169,169,0,20.003083837000304,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,20
hustack,hustack02,167,204,0.8186274509803921,167,167,0,45.00307365400295,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,45
hustack,hustack03,37,39,0.9487179487179487,37,37,0,19.954651447002107,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,20
hustack,hustack04,227,297,0.7643097643097643,227,227,0,44.96939715500048,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,45
hustack,hustack05,318,357,0.8907563025210085,318,318,0,44.9700468939991,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,45
hustack,hustack06,69,78,0.8846153846153846,69,69,0,19.964393592003034,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,20
hustack,hustack07,200,242,0.8264462809917356,200,200,0,45.00237038399791,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,45
hustack,hustack08,148,168,0.8809523809523809,146,148,2,20.00277733099938,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,20
hustack,hustack09,284,327,0.8685015290519877,283,284,1,45.00375772299958,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,45
hustack,hustack10,12,12,1.0,12,12,0,19.95227210899975,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,20
